time_local_start,survey_type
2019-09-29 11:17:00,borehole-borehole
2019-09-29 22:00:00,borehole-borehole
2019-09-29 22:22:00,borehole-borehole
2019-09-30 00:44:00,borehole-borehole
2019-09-30 03:09:00,borehole-borehole
2019-09-30 04:18:00,borehole-borehole
2019-09-30 05:32:00,borehole-borehole
2019-09-30 07:44:00,borehole-borehole
2019-09-30 09:52:00,borehole-borehole
2019-09-30 11:15:00,borehole-borehole
2019-09-30 22:00:00,borehole-borehole
2019-09-30 22:22:00,borehole-borehole
2019-10-01 00:44:00,borehole-borehole
2019-10-01 03:12:00,borehole-borehole
2019-10-01 04:21:00,borehole-borehole
2019-10-01 05:34:00,borehole-borehole
2019-10-01 07:47:00,borehole-borehole
2019-10-01 09:55:00,borehole-borehole
2019-10-01 11:18:00,borehole-borehole
2019-10-01 22:00:00,borehole-borehole
2019-10-01 22:22:00,borehole-borehole
2019-10-02 00:44:00,borehole-borehole
2019-10-02 03:11:00,borehole-borehole
2019-10-03 16:38:00,borehole-borehole
2019-10-03 17:00:00,borehole-borehole
2019-10-03 19:21:00,borehole-borehole
2019-10-03 21:47:00,borehole-borehole
2019-10-03 22:55:00,borehole-borehole
2019-10-04 00:08:00,borehole-borehole
2019-10-04 02:21:00,borehole-borehole
2019-10-05 22:00:00,borehole-borehole
2019-10-05 22:22:00,borehole-borehole
2019-10-06 00:44:00,borehole-borehole
2019-10-06 03:10:00,borehole-borehole
2019-10-06 04:19:00,borehole-borehole
2019-10-06 05:32:00,borehole-borehole
2019-10-06 07:45:00,borehole-borehole
2019-10-06 09:52:00,borehole-borehole
2019-10-06 11:16:00,borehole-borehole
2019-10-06 22:00:00,borehole-borehole
2019-10-06 22:22:00,borehole-borehole
2019-10-07 00:44:00,borehole-borehole
2019-10-07 03:08:00,borehole-borehole
2019-10-07 04:17:00,borehole-borehole
2019-10-07 05:30:00,borehole-borehole
2019-10-07 07:42:00,borehole-borehole
2019-10-10 09:18:00,borehole-borehole
2019-10-10 09:40:00,borehole-borehole
2019-10-10 11:55:00,borehole-borehole
2019-10-10 14:10:00,borehole-borehole
2019-10-10 15:15:00,borehole-borehole
2019-10-10 16:24:00,borehole-borehole
2019-10-10 18:30:00,borehole-borehole
2019-10-10 20:37:00,borehole-borehole
2019-10-10 22:00:00,borehole-borehole
2019-10-11 22:00:00,borehole-borehole
2019-10-11 22:22:00,borehole-borehole
2019-10-12 00:44:00,borehole-borehole
2019-10-12 03:07:00,borehole-borehole
2019-10-12 04:17:00,borehole-borehole
2019-10-12 05:29:00,borehole-borehole
2019-10-12 07:42:00,borehole-borehole
2019-10-12 09:50:00,borehole-borehole
2019-10-12 11:13:00,borehole-borehole
2019-10-12 22:00:00,borehole-borehole
2019-10-12 22:22:00,borehole-borehole
2019-10-13 00:44:00,borehole-borehole
2019-10-13 03:07:00,borehole-borehole
2019-10-13 04:16:00,borehole-borehole
2019-10-13 05:27:00,borehole-borehole
2019-10-13 07:41:00,borehole-borehole
2019-10-13 09:48:00,borehole-borehole
2019-10-13 11:12:00,borehole-borehole
2019-10-13 22:00:00,borehole-borehole
2019-10-13 22:23:00,borehole-borehole
2019-10-14 00:45:00,borehole-borehole
2019-10-14 03:06:00,borehole-borehole
2019-10-14 04:15:00,borehole-borehole
2019-10-14 05:26:00,borehole-borehole
2019-10-14 07:39:00,borehole-borehole
2019-10-14 09:47:00,borehole-borehole
2019-10-14 11:09:00,borehole-borehole
2019-10-14 22:00:00,borehole-borehole
2019-10-14 22:23:00,borehole-borehole
2019-10-15 00:45:00,borehole-borehole
2019-10-15 03:07:00,borehole-borehole
2019-10-15 04:16:00,borehole-borehole
2019-10-15 05:28:00,borehole-borehole
2019-10-15 07:40:00,borehole-borehole
2019-10-15 09:48:00,borehole-borehole
2019-10-15 11:10:00,borehole-borehole
2019-10-15 22:00:00,borehole-borehole
2019-10-15 22:22:00,borehole-borehole
2019-10-16 00:44:00,borehole-borehole
2019-10-16 03:07:00,borehole-borehole
2019-10-16 04:16:00,borehole-borehole
2019-10-16 05:28:00,borehole-borehole
2019-10-16 07:41:00,borehole-borehole
2019-10-16 09:49:00,borehole-borehole
2019-10-16 11:12:00,borehole-borehole
2019-10-16 22:00:00,borehole-borehole
2019-10-16 22:22:00,borehole-borehole
2019-10-17 00:44:00,borehole-borehole
2019-10-17 03:07:00,borehole-borehole
2019-10-17 04:16:00,borehole-borehole
2019-10-17 05:28:00,borehole-borehole
2019-10-17 07:41:00,borehole-borehole
2019-10-17 09:48:00,borehole-borehole
2019-10-17 11:12:00,borehole-borehole
2019-10-17 22:00:00,borehole-borehole
2019-10-17 22:23:00,borehole-borehole
2019-10-18 00:45:00,borehole-borehole
2019-10-18 03:08:00,borehole-borehole
2019-10-18 04:17:00,borehole-borehole
2019-10-18 05:29:00,borehole-borehole
2019-10-18 07:41:00,borehole-borehole
2019-10-18 09:49:00,borehole-borehole
2019-10-18 11:11:00,borehole-borehole
2019-10-18 22:00:00,borehole-borehole
2019-10-18 22:22:00,borehole-borehole
2019-10-18 23:32:00,borehole-borehole
2019-10-19 01:54:00,borehole-borehole
2019-10-19 03:03:00,borehole-borehole
2019-10-19 04:14:00,borehole-borehole
2019-10-19 06:27:00,borehole-borehole
2019-10-19 08:35:00,borehole-borehole
2019-10-19 09:32:00,borehole-borehole
2019-10-19 22:00:00,borehole-borehole
2019-10-19 22:22:00,borehole-borehole
2019-10-20 00:44:00,borehole-borehole
2019-10-20 03:07:00,borehole-borehole
2019-10-20 04:16:00,borehole-borehole
2019-10-20 05:28:00,borehole-borehole
2019-10-20 07:40:00,borehole-borehole
2019-10-20 09:48:00,borehole-borehole
2019-10-20 11:11:00,borehole-borehole
2019-10-20 22:00:00,borehole-borehole
2019-10-20 22:23:00,borehole-borehole
2019-10-21 00:45:00,borehole-borehole
2019-10-21 03:07:00,borehole-borehole
2019-10-21 04:15:00,borehole-borehole
2019-10-21 05:27:00,borehole-borehole
2019-10-21 05:32:00,borehole-borehole
2019-10-21 07:40:00,borehole-borehole
2019-10-21 09:03:00,borehole-borehole
2019-10-21 22:00:00,borehole-borehole
2019-10-21 22:22:00,borehole-borehole
2019-10-22 00:44:00,borehole-borehole
2019-10-22 03:07:00,borehole-borehole
2019-10-22 04:16:00,borehole-borehole
2019-10-22 05:28:00,borehole-borehole
2019-10-22 07:40:00,borehole-borehole
2019-10-22 09:48:00,borehole-borehole
2019-10-22 11:10:00,borehole-borehole
2019-10-22 22:00:00,borehole-borehole
2019-10-22 22:22:00,borehole-borehole
2019-10-23 00:44:00,borehole-borehole
2019-10-23 03:08:00,borehole-borehole
2019-10-23 04:16:00,borehole-borehole
2019-10-23 05:28:00,borehole-borehole
2019-10-23 07:40:00,borehole-borehole
2019-10-23 09:48:00,borehole-borehole
2019-10-23 11:10:00,borehole-borehole
2019-10-23 22:00:00,borehole-borehole
2019-10-23 22:23:00,borehole-borehole
2019-10-24 00:45:00,borehole-borehole
2019-10-24 03:08:00,borehole-borehole
2019-10-24 04:17:00,borehole-borehole
2019-10-24 05:29:00,borehole-borehole
2019-10-24 07:41:00,borehole-borehole
2019-10-24 09:49:00,borehole-borehole
2019-10-24 11:13:00,borehole-borehole
2019-10-24 22:00:00,borehole-borehole
2019-10-24 22:23:00,borehole-borehole
2019-10-25 00:45:00,borehole-borehole
2019-10-25 03:08:00,borehole-borehole
2019-10-25 04:17:00,borehole-borehole
2019-10-25 05:28:00,borehole-borehole
2019-10-25 07:41:00,borehole-borehole
2019-10-25 09:49:00,borehole-borehole
2019-10-25 11:11:00,borehole-borehole
2019-10-25 22:00:00,borehole-borehole
2019-10-25 22:22:00,borehole-borehole
2019-10-26 00:32:00,borehole-borehole
2019-10-26 02:55:00,borehole-borehole
2019-10-26 04:04:00,borehole-borehole
2019-10-26 05:16:00,borehole-borehole
2019-10-26 05:32:00,borehole-borehole
2019-10-26 07:40:00,borehole-borehole
2019-10-26 09:03:00,borehole-borehole
2019-10-26 22:00:00,borehole-borehole
2019-10-26 22:22:00,borehole-borehole
2019-10-27 00:44:00,borehole-borehole
2019-10-27 03:07:00,borehole-borehole
2019-10-27 04:16:00,borehole-borehole
2019-10-27 05:27:00,borehole-borehole
2019-10-27 07:40:00,borehole-borehole
2019-10-27 09:47:00,borehole-borehole
2019-10-27 11:10:00,borehole-borehole
2019-10-27 22:00:00,borehole-borehole
2019-10-27 22:22:00,borehole-borehole
2019-10-28 00:45:00,borehole-borehole
2019-10-28 03:07:00,borehole-borehole
2019-10-28 04:17:00,borehole-borehole
2019-10-28 05:28:00,borehole-borehole
2019-10-28 07:40:00,borehole-borehole
2019-10-28 09:48:00,borehole-borehole
2019-10-28 11:10:00,borehole-borehole
2019-10-28 22:00:00,borehole-borehole
2019-10-28 22:22:00,borehole-borehole
2019-10-29 00:45:00,borehole-borehole
2019-10-29 03:08:00,borehole-borehole
2019-10-29 03:32:00,borehole-borehole
2019-10-29 04:44:00,borehole-borehole
2019-10-29 06:57:00,borehole-borehole
2019-10-29 09:05:00,borehole-borehole
2019-10-29 10:27:00,borehole-borehole
2019-10-29 22:00:00,borehole-borehole
2019-10-29 22:22:00,borehole-borehole
2019-10-30 00:45:00,borehole-borehole
2019-10-30 03:07:00,borehole-borehole
2019-10-30 04:16:00,borehole-borehole
2019-10-30 05:27:00,borehole-borehole
2019-10-30 07:40:00,borehole-borehole
2019-10-30 09:48:00,borehole-borehole
2019-10-30 11:10:00,borehole-borehole
2019-10-30 22:00:00,borehole-borehole
2019-10-30 22:22:00,borehole-borehole
2019-10-31 00:44:00,borehole-borehole
2019-10-31 03:08:00,borehole-borehole
2019-10-31 04:16:00,borehole-borehole
2019-10-31 05:28:00,borehole-borehole
2019-10-31 05:33:00,borehole-borehole
2019-10-31 07:40:00,borehole-borehole
2019-10-31 09:03:00,borehole-borehole
2019-10-31 22:00:00,borehole-borehole
2019-10-31 22:22:00,borehole-borehole
2019-10-31 22:33:00,borehole-borehole
2019-11-01 00:56:00,borehole-borehole
2019-11-01 02:05:00,borehole-borehole
2019-11-01 03:17:00,borehole-borehole
2019-11-01 05:30:00,borehole-borehole
2019-11-01 07:37:00,borehole-borehole
2019-11-01 09:00:00,borehole-borehole
2019-11-01 22:00:00,borehole-borehole
2019-11-01 22:22:00,borehole-borehole
2019-11-02 00:44:00,borehole-borehole
2019-11-02 03:07:00,borehole-borehole
2019-11-02 04:15:00,borehole-borehole
2019-11-02 05:26:00,borehole-borehole
2019-11-02 07:40:00,borehole-borehole
2019-11-02 09:47:00,borehole-borehole
2019-11-02 11:09:00,borehole-borehole
2019-11-02 22:00:00,borehole-borehole
2019-11-02 22:23:00,borehole-borehole
2019-11-03 00:45:00,borehole-borehole
2019-11-03 02:07:00,borehole-borehole
2019-11-03 03:16:00,borehole-borehole
2019-11-03 04:27:00,borehole-borehole
2019-11-03 06:39:00,borehole-borehole
2019-11-03 08:47:00,borehole-borehole
2019-11-03 10:09:00,borehole-borehole
2019-11-03 22:00:00,borehole-borehole
2019-11-03 22:22:00,borehole-borehole
2019-11-04 00:45:00,borehole-borehole
2019-11-04 03:07:00,borehole-borehole
2019-11-04 04:16:00,borehole-borehole
2019-11-04 05:28:00,borehole-borehole
2019-11-04 07:40:00,borehole-borehole
2019-11-04 09:48:00,borehole-borehole
2019-11-04 11:10:00,borehole-borehole
2019-11-04 22:00:00,borehole-borehole
2019-11-04 22:00:00,borehole-borehole
2019-11-04 22:22:00,borehole-borehole
2019-11-05 00:44:00,borehole-borehole
2019-11-05 03:07:00,borehole-borehole
2019-11-05 04:15:00,borehole-borehole
2019-11-05 05:27:00,borehole-borehole
2019-11-05 07:39:00,borehole-borehole
2019-11-05 09:47:00,borehole-borehole
2019-11-05 11:09:00,borehole-borehole
